INSTNM,CITY,STABBR,PREDDEG,ADDR
De Anza College,Cupertino,CA,2,"21250 Stevens Creek Blvd."
International School of Beauty Inc,Palm Desert,CA,1,"72261 Hwy 111 Ste 121-B"
Dell'Arte International School of Physical Theatre,Blue Lake,CA,1,"131 H Street"
College of the Desert,Palm Desert,CA,2,"43-500 Monterey Ave"
Design Institute of San Diego,San Diego,CA,3,"8555 Commerce Ave"
Diablo Valley College,Pleasant Hill,CA,2,"321 Golf Club Rd"
Dominican University of California,San Rafael,CA,3,"50 Acacia Ave"
Dominican School of Philosophy & Theology,Berkeley,CA,4,"2301 Vine Street"
East Los Angeles College,Monterey Park,CA,2,"1301 Avenida Cesar Chavez"
El Camino Community College District,Torrance,CA,2,"16007 Crenshaw Blvd"
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,4,"1807 Wilshire Blvd, Ste #200"
Empire College,Santa Rosa,CA,1,"3035 Cleveland Ave"
Evergreen Valley College,San Jose,CA,2,"3095 Yerba Buena Rd"
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,2,"919 S Grand Ave"
Feather River Community College District,Quincy,CA,2,"570 Golden Eagle Ave"
Federico Beauty Institute,Sacramento,CA,1,"1515 Sports Drive    Ste 100"
Fielding Graduate University,Santa Barbara,CA,4,"2020 De La Vina St"
Five Branches University,Santa Cruz,CA,4,"200 7th Avenue"
Redondo Beach Beauty College,Torrance,CA,1,"23800 Hawthorne Blvd # 200"
Foothill College,Los Altos Hills,CA,2,"12345 El Monte Rd"
Franciscan School of Theology,San Diego,CA,4,"5998 Alcala Park"
Fredrick and Charles Beauty College,Eureka,CA,1,"831 F St"
Fresno City College,Fresno,CA,2,"1101 E. University Ave"
Fresno Pacific University,Fresno,CA,3,"1717 S. Chestnut Ave"
Fuller Theological Seminary,Pasadena,CA,4,"135 N Oakland Ave"
Fullerton College,Fullerton,CA,2,"321 E Chapman Avenue"
Gavilan College,Gilroy,CA,1,"5055 Santa Teresa Blvd"
Gemological Institute of America-Carlsbad,Carlsbad,CA,1,"5345 Armada Dr"
Glendale Community College,Glendale,CA,2,"1500 N Verdugo Rd"
