INSTNM,CITY,STABBR,PREDDEG,ADDR
Central Texas Beauty College-Temple,Temple,TX,1,"2010 South 57th Street"
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,Angola,NY,1,"8685 Erie Rd"
Empire Beauty School-Brooklyn,Brooklyn,NY,1,"2384 86th St"
Eastern New Mexico University Ruidoso Branch Community College,Ruidoso,NM,2,"709 Mechem Dr"
UEI College-Ontario,Ontario,CA,1,"4730 Ontario Mills Parkway"
UEI College-Reseda,Reseda,CA,1,"18040 Sherman Way"
Beacon College,Leesburg,FL,3,"105 E Main St"
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,4,"2550 Shattuck Avenue"
Estrella Mountain Community College,Avondale,AZ,2,"3000 N Dysart Rd"
Heartland Community College,Normal,IL,2,"1500 West Raab Road"
University of the Potomac-Washington DC Campus,Washington,DC,3,"1401 H Street NW"
Rabbi Jacob Joseph School,Edison,NJ,3,"One Plainfield Ave"
The Salon Professional Academy-Melbourne,Melbourne,FL,1,"1700 W. New Haven Avenue - Ste 540A"
Albert Einstein College of Medicine,Bronx,NY,4,"1300 Morris Park Avenue"
Fortis Institute-Scranton,Scranton,PA,2,"517 Ash Street"
Everglades University,Boca Raton,FL,3,"5002 T-Rex Avenue, Suite 100"
Seminar L'moros Bais Yaakov,Brooklyn,NY,1,"4409 15th Ave"
Herzing University-Orlando,Winter Park,FL,2,"1865 SR 436"
Cortiva Institute,Pompano Beach,FL,1,"2001 W Sample Rd Ste 100"
College of Biblical Studies-Houston,Houston,TX,3,"7000 Regency Square Blvd."
Inner State Beauty School,Lyndhurst,OH,1,"5150 Mayfield Road"
Mid-EastCTC-Adult Education,Zanesville,OH,1,"400 Richards Rd"
Polaris Career Center,Middleburg Heights,OH,1,"7285 Old Oak Blvd"
P&A Scholars Beauty School,Detroit,MI,1,"12001 Grandriver Avenue"
Sharp's Academy of Hairstyling,Grand Blanc,MI,1,"8166 N Holly Rd"
The College of Health Care Professions-Northwest,Houston,TX,1,"12230 Northwest Freeway"
School of Professional Horticulture New York Botanical Garden,Bronx,NY,1,"2900 Southern Blvd."
Fortis College,Houston,TX,1,"1201 West Oaks Mall"
Alhambra Beauty College,Alhambra,CA,1,"200 W Main St"
UEI College-Gardena,Gardena,CA,1,"661 West Redondo Beach Boulevard"
Asian-American International Beauty College,Westminster,CA,1,"7871 Westminster Blvd"
Copper Mountain Community College,Joshua Tree,CA,2,"6162 Rotary Way"
Diversified Vocational College,Los Angeles,CA,1,"1670 Wilshire Blvd"
UEI College-Fresno,Fresno,CA,1,"3602 N. Blackstone, Suite 0268"
Santiago Canyon College,Orange,CA,1,"8045 E Chapman"
Southern California Institute of Technology,Anaheim,CA,1,"525 N. Muller Street"
Soka University of America,Aliso Viejo,CA,3,"1 University Drive"
Summit College,San Bernardino,CA,1,"804 E Brier Dr"
Advance Beauty College,Garden Grove,CA,1,"10121 Westminster Ave"
Los Angeles Pacific College,Los Angeles,CA,1,"3325 Wilshire Boulevard Suite 550"
World Mission University,Los Angeles,CA,3,"500 Shatto Pl Ste 600"
Yo San University of Traditional Chinese Medicine,Los Angeles,CA,4,"13315 W. Washington Boulevard"
John Amico School of Hair Design,Oak Forest,IL,1,"15301 South Cicero Avenue"
Delta College Inc,Covington,LA,1,"19231 N. 6th Street"
Tri-State Cosmetology Institute,El Paso,TX,1,"1120 Vista de Oro Dr"
Frontier Community College,Fairfield,IL,2,"2 Frontier Drive"
Lincoln Trail College,Robinson,IL,2,"11220 State Hwy 1"
Wabash Valley College,Mount Carmel,IL,2,"2200 College Drive"
Brookline College-Tempe,Tempe,AZ,1,"1140-1150 S. Priest Drive"
Inter American University of Puerto Rico-School of Optometry,Bayamon,PR,4,"500 John Will Harris Avenue"
Schiller International University,Tampa,FL,3,"400 N Tampa St. Suite 1700"
Coconino Community College,Flagstaff,AZ,1,"2800 S. Lone Tree Rd."
Emma's Beauty Academy-Juana Diaz,Juana Diaz,PR,1,"101 Carr 592"
Brillare Beauty Institute,Cleveland,TN,1,"1605 Professional Park Drive NW"
Pima Medical Institute-Denver,Denver,CO,1,"7475 Dakin St. Suite 100"
ASA College,Brooklyn,NY,2,"151 Lawrence Street"
Ohio State School of Cosmetology-Heath,Heath,OH,1,"789 Hebron Road, Ste J"
Yeshivas Novominsk,Brooklyn,NY,3,"1690 60th Street"
Southern Careers Institute-Corpus Christi,Corpus Christi,TX,1,"2422 Airline Road"
Rabbinical College of Ohr Shimon Yisroel,Brooklyn,NY,3,"215-217 Hewes St"
Carroll Community College,Westminster,MD,2,"1601 Washington Rd"
Galen College of Nursing-Tampa Bay,Saint Petersburg,FL,2,"10200 Dr. Martin Luther King Jr. Street N"
Galen College of Nursing-San Antonio,San Antonio,TX,2,"7411 John Smith Drive, Suite 300"
Sarasota School of Massage Therapy,Sarasota,FL,1,"5899 Whitfield Ave Suite 300"
Schuyler Steuben Chemung Tioga Allegany BOCES,Elmira,NY,1,"459 Philo Road"
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,Norwich,NY,1,"6678 County Rd 32"
Central Susquehanna Intermediate Unit LPN Career,Milton,PA,1,"15 Lawton Lane"
Myotherapy Massage College,Millcreek City,UT,1,"3950 South 700 East, Suite 100"
City College-Gainesville,Gainesville,FL,2,"7001 N.W. 4th Blvd."
G Skin & Beauty Institute,Oakbrook,IL,1,"1200 Harger Road, Suite 100"
Cosmetology Training Center,Lafayette,LA,1,"5520 Johnston Street, Suite H2"
Stage One-The Hair School,Lake Charles,LA,1,"209 W College St"
Empire Beauty School-Malden,Malden,MA,1,"347 Pleasant St"
Xenon International Academy-Omaha,Omaha,NE,1,"8516 Park Drive"
Capri Institute of Hair Design-Brick,Brick,NJ,1,"268 Brick Blvd"
Capri Institute of Hair Design-Kenilworth,Kenilworth,NJ,1,"660 N Michigan Ave"
Capri Institute of Hair Design-Paramus,Paramus,NJ,1,"615 Winters Ave"
Orlo School of Hair Design and Cosmetology,Albany,NY,1,"232 North Allen St"
Eastland-Fairfield Career and Technical Schools,Groveport,OH,1,"4300 Amalgamated Place"
Empire Beauty School-Cincinnati,Cincinnati,OH,1,"8419 Colerain Ave"
Mahoning County Career and Technical Center,Canfield,OH,1,"7300 N Palmyra Rd."
Pickaway Ross Joint Vocational School District,Chillicothe,OH,1,"1410 Industrial Drive"
Pioneer Career and Technology Center,Shelby,OH,1,"27 Ryan Rd"
Raphael's School of Beauty Culture Inc-Boardman,Boardman,OH,1,"615 Boardman-Canfield Rd"
Scioto County Career Technical Center,Lucasville,OH,1,"951 Vern Riffe Drive"
Trumbull Career & Technical Center,Warren,OH,1,"528 Educational Highway"
Pacific Bible College,Medford,OR,2,"28 S Fir Street STE 212"
Lake Erie College of Osteopathic Medicine,Erie,PA,1,"1858 W Grandview Blvd"
UCAS University of Cosmetology Arts & Sciences-Harlingen,Harlingen,TX,1,"801 N. 13th Street Suite 2"
Highlights Beauty Schools,Federal Way,WA,1,"2222 So. 314 St"
Empire Beauty School-Green Bay,Ashwaubenon,WI,1,"940 Hansen Road"
Warren County Career Center,Lebanon,OH,1,"3525 North State Route 48"
Paul Mitchell the School-Wichita,Wichita,KS,1,"3242 N. Rock Road Suite 106"
Pinnacle Institute of Cosmetology,Mooresville,NC,1,"461-C  East Plaza Drive"
Southern Careers Institute-Pharr,Pharr,TX,1,"1500 N. Jackson Rd"
Laurel Technical Institute,MEADVILLE,PA,1,"11618 Cotton Road"
Florida National University-Main Campus,Hialeah,FL,3,"4425 West. Jose Regueiro (20th) Avenue"
Georgia Institute of Cosmetology,Athens,GA,1,"3529 Atlanta Hwy"
Nouvelle Institute,Miami,FL,1,"3271 NW 7th St Suite#106"
Franklin Technology Center Adult Education,Joplin,MO,1,"810 S. Wall Avenue"
Professional Technical Institution,Bayamon,PR,1,"Calle Comerio Final Km. 20.5  Bo. La Aldea"
Erikson Institute,Chicago,IL,4,"451 N. LaSalle Street"
South Texas College,McAllen,TX,2,"3201 W. Pecan"
Pike County Joint Vocational School District,Piketon,OH,1,"175 Beaver Creek Rd"
Lorain County Joint Vocational School District,Oberlin,OH,1,"15181 St Rte 58 S"
Roger Williams University School of Law,Bristol,RI,4,"Ten Metacom Ave"
California State University-Monterey Bay,Seaside,CA,3,"100 Campus Center"
Ohio Media School-Valley View,Valley View,OH,1,"9885 Rockside Rd., Suite 160"
EINE Inc,Tewksbury,MA,1,"1501 Main St, Ste 50"
Marian Health Careers Center-Los Angeles Campus,Los Angeles,CA,1,"3325 Wilshire Blvd Ste 1010"
Cleveland Clinic Health System-School of Diagnostic Imaging,Euclid,OH,1,"18901 Lakeshore Blvd"
Academy for Nursing and Health Occupations,West Palm Beach,FL,2,"5154 Okeechobee Blvd Ste 201"
Shawsheen Valley School of Practical Nursing,Billerica,MA,1,"100 Cook St"
Shear Ego International School of Hair Design,Rochester,NY,1,"525 Titus Ave"
Remington College-Memphis Campus,Memphis,TN,1,"2710 Nonconnah Blvd"
Fayette Institute of Technology,Oak Hill,WV,1,"300 West Oyler Avenue"
Capella University,Minneapolis,MN,3,"225 South 6th Street, 9th Floor"
College of Menominee Nation,Keshena,WI,3,"N172 State Highway 47&55"
Leech Lake Tribal College,Cass Lake,MN,2,"6945 Littlewolf Road NW"
Spartan College of Aeronautics & Technology,Inglewood,CA,1,"8911 Aviation Blvd"
Stone Academy-Waterbury,Waterbury,CT,1,"101 Pierpont Road"
Yukon Beauty College Inc,Yukon,OK,1,"221 W. MAIN STREET"
United Education Institute-Morrow,Morrow,GA,1,"1564 Southlake Parkway"
Toni & Guy Hairdressing Academy-Atlanta,Marietta,GA,1,"1355 Roswell Rd, Suite 150"
Mitchells Academy,Raleigh,NC,1,"1301 Buck Jones Rd"
Artistic Academy of Hair Design,Morris Plains,NJ,1,"301 Gibraltar Drive, Suite 1-A"
Motoring Technical Training Institute,Seekonk,MA,1,"1241 Fall River Avenue"
Mech-Tech College,Caguas,PR,1,"Num 39-40 B St W Industrial Pk"
Baldwin Beauty School-North Austin,Austin,TX,1,"8440 Burnet Rd., Ste 140"
Jean Madeline Aveda Institute,Philadelphia,PA,1,"315A Bainbridge St"
Pacific College of Health and Science,New York,NY,2,"110 William St. 19th Fl"
Tricoci University of Beauty Culture-Indianapolis,Indianapolis,IN,1,"9725 Crosspoint Commons"
Trine University-Regional/Non-Traditional Campuses,Angola,IN,3,"1 University Avenue"
Pennsylvania Highlands Community College,Johnstown,PA,2,"101 Community College Way"
Nevada Career Institute,Las Vegas,NV,1,"3231 North Decatur Boulevard"
Phillips Theological Seminary,Tulsa,OK,4,"901 N Mingo Rd"
Empire Beauty School-Hanover,Hanover,PA,1,"Clearview Shp Ctr., 1000 Carlisle St, S4"
Industrial Management Training Institute,Waterbury,CT,1,"233 Mill St"
Allen School-Jamaica,Jamaica,NY,1,"163-18 Jamaica Avenue"
Premiere Career College,Irwindale,CA,1,"12901 Ramona Blvd"
The University of Texas MD Anderson Cancer Center,Houston,TX,3,"1515 Holcombe Blvd."
Paul Mitchell the School-Huntsville,Madison,AL,1,"3810 Sullivan St Ste E"
Cedars Sinai Medical Center,Los Angeles,CA,4,"8700 Beverly Boulevard"
Estes Institute of Cosmetology Arts and Science,Visalia,CA,1,"324 E Main St"
Baldwin Park Adult & Community Education,Baldwin Park,CA,1,"4640 N. Maine Ave"
Ventura Adult and Continuing Education,Ventura,CA,1,"5200 Valentine Rd"
CT Aerotech,Hartford,CT,1,"500 Lindbergh Drive"
Stratford School for Aviation Maintenance Technicians,Stratford,CT,1,"200 Great Meadow Road"
City College-Altamonte Springs,Altamonte Springs,FL,2,"177 Montgomery Road"
Career Center of Southern Illinois,Red Bud,IL,1,"6137 Beck Rd"
Crave Beauty Academy,Wichita,KS,1,"3804 W Douglas"
Hastings Beauty School,Hastings,MN,1,"221 Second Street East"
Kirksville Area Technical Center,Kirksville,MO,1,"1103 S Cottage Grove"
South Central Career Center,West Plains,MO,1,"407 W. Thornburgh"
Saline County Career Center,Marshall,MO,1,"900 W Vest"
Warrensburg Area Career Center,Warrensburg,MO,1,"205 S. Ridgeview Dr"
Cass Career Center,Harrisonville,MO,1,"1600 E Elm"
Applied Technology Services,Sunset Hills,MO,1,"12721 West Watson Road"
Central College of Cosmetology,Saint Robert,MO,1,"690 Missouri Avenue ,  Suite #3"
Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,MO,2,"2001 William Street"
Messenger College,Bedford,TX,3,"2701 Brown Trail, Suite 408"
Union County Vocational Technical School,Scotch Plains,NJ,1,"1776 Raritan Rd"
Prism Career Institute-Philadelphia,Philadelphia,PA,1,"8040 Roosevelt Boulevard"
Clinton Essex Warren Washington BOCES,Plattsburgh,NY,1,"1585 Military Turnpike"
Jefferson Lewis BOCES-Practical Nursing Program,Watertown,NY,1,"20104 State Route 3"
Veeb Nassau County School of Practical Nursing,Hicksville,NY,1,"30 East Cherry Street"
Cattaraugus Allegany BOCES-Practical Nursing Program,Olean,NY,1,"1825 Windfall Rd"
Orange Ulster BOCES-Practical Nursing Program,Newburgh,NY,1,"3 Washington Center"
Wayne Finger Lakes BOCES-Practical Nursing Program,Newark,NY,1,"131 Drumlin Ct"
Broome Delaware Tioga BOCES-Practical Nursing Program,Binghamton,NY,1,"435 Glenwood Rd"
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,Hudson Falls,NY,1,"1051 Dix Ave"
Albany BOCES-Adult Practical Nursing Program,Albany,NY,1,"900  Watervliet Shaker Rd"
Ulster BOCES-School of Practical Nursing,Port Ewen,NY,1,"319 Broadway, PO Box 601"
Eastern Suffolk BOCES,Brentwood,NY,1,"100 Second Avenue"
Rockland County BOCES-Practical Nursing Program,West Nyack,NY,1,"65 Parrott Rd, Bldg 3"
New York College of Health Professions,Syosset,NY,2,"6801 Jericho Tpk"
Charles Stuart School of Diamond Setting,Brooklyn,NY,1,"1420 Kings Hwy 2nd Fl"
Penta County Joint Vocational School,Perrysburg,OH,1,"9301 Buck Road"
Career and Technology Education Centers of Licking County,Newark,OH,1,"150 Price Rd"
Northern Career Institute,Eastlake,OH,1,"34050 Glen Drive, Suite 2"
Washington County Career Center-Adult Technical Training,Marietta,OH,1,"21740 State Route 676"
Ohio Media School-Cincinnati,Norwood,OH,1,"4411 Montgomery Road"
Vantage Career Center,Van Wert,OH,1,"818 North Franklin Street"
Indian Capital Technology Center-Muskogee,Muskogee,OK,1,"2403 N 41st St E"
Western Technology Center,Burns Flat,OK,1,"621 Sooner Drive"
Mid-America Technology Center,Wayne,OK,1,"27438 State Hwy 59"
Eastern Oklahoma County Technology Center,Choctaw,OK,1,"4601 N Choctaw Rd"
Wes Watkins Technology Center,Wetumka,OK,1,"7892 Highway 9"
York County School of Technology-Adult & Continuing Education,York,PA,1,"2179 S Queen St"
Chester County Intermediate Unit,Downingtown,PA,1,"443 Boot Road"
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Reynoldsville,PA,1,"576 Vo-Tech Road"
Greater Johnstown Career and Technology Center,Johnstown,PA,1,"445 Schoolhouse Rd"
Mifflin County Academy of Science and Technology,Lewistown,PA,1,"700 Pitt St"
Lenape Technical School Practical Nursing Program,Ford City,PA,1,"104 Armstrong Street"
Venango County Area Vocational Technical School,Oil City,PA,1,"1 Vo-Tech Dr"
Lancaster County Career and Technology Center,Willow Street,PA,1,"1730 Hans Herr Dr"
Lebanon County Area Vocational Technical School,Lebanon,PA,1,"833 Metro Dr"
Indiana County Technology Center,Indiana,PA,1,"441 Hamill Rd"
Northern Tier Career Center,Towanda,PA,1,"120 Career Center Lane"
Hazleton Area Career Center,Hazle TWP.,PA,1,"1451 West 23rd Street"
All-State Career School-Pittsburgh,West Mifflin,PA,1,"1200 Lebanon Road"
Quality Technical and Beauty College,Bayamon,PR,1,"Bo Pueblo Carr 167 Calle Parque Local #10"
D'Mart Institute,Barranquitas,PR,1,"Carr 156 Km 17.3 Barrio Honduras"
Automeca Technical College-Aguadilla,Aguadilla,PR,1,"Parque Industrial La Montana Km09 Edif932"
North Central Institute,Clarksville,TN,1,"168 Jack Miller Blvd"
Pipo Academy of Hair Design,El Paso,TX,1,"3000 Pershing Dr"
Tint School of Makeup and Cosmetology-Dallas,Grand Prairie,TX,1,"311 A E Pioneer Pkwy Hwy 303"
United Technical Center,Clarksburg,WV,1,"251 Marietta Street"
Charles H McCann Technical School,North Adams,MA,1,"70 Hodges Cross Rd"
Central California School of Continuing Education,San Luis Obispo,CA,1,"3195 McMillan Ste F"
Mercy Hospital School of Practical Nursing,Miami,FL,1,"3663 S Miami Ave"
Marion Technical College,Ocala,FL,1,"1014 SW 7th Rd"
Rivertown School of Beauty Barber Skin Care and Nails,Columbus,GA,1,"3625 Manchester Expy"
Atlanta Institute of Music and Media,Duluth,GA,2,"2875 Breckinridge Blvd., Suite 700"
Illinois Media School,Lombard,IL,1,"455 Eisenhower Lane South Suite 200"
New Dimensions School of Hair Design,Joplin,MO,1,"621 Kentucky Ave."
Forbes Road Career and Technology Center,Monroeville,PA,1,"607 Beatty Rd"
Jna Institute of Culinary Arts,Philadelphia,PA,1,"1212 S Broad St"
Putnam Career and Technical Center,Eleanor,WV,1,"300 Roosevelt Boulevard"
Crawford County Career and Technical Center Practical Nursing Program,Meadville,PA,1,"860 Thurston Rd"
Texas College of Cosmetology-San Angelo,San Angelo,TX,1,"3504 Knickerbocker Road"
Automeca Technical College-Bayamon,Bayamon,PR,1,"Carr.No.2 Km14.0 Hato Tejas"
Automeca Technical College-Caguas,Caguas,PR,1,"Calle Munoz Rivera No.69"
Automeca Technical College-Ponce,Ponce,PR,1,"Calle Villa No.452"
Centura College-Chesapeake,Chesapeake,VA,1,"932 B Ventures Way"
University of Phoenix-Hawaii,Kapolei,HI,3,"949 Kaokila Blvd"
Prism Career Institute-Cherry Hill,Cherry Hill,NJ,1,"3 Executive Campus Rt 70, Suite 280"
Sonoran University of Health Sciences,Tempe,AZ,4,"2140 E Broadway Rd"
Escuela de Peritos Electricistas de Isabela Inc,Isabela,PR,1,"Ave. Agustin Ramos Calero Calle Surinam 1059  P.R. 112 Norte"
Yeshiva D'monsey Rabbinical College,Monsey,NY,3,"2 Roman Blvd"
Lincoln Technical Institute-Mahwah,Mahwah,NJ,1,"70 McKee Dr"
Career Technical Institute,Washington,DC,1,"1101 Vermont Avenue, N.W suite L002"
Northwest Vista College,San Antonio,TX,2,"3535 N. Ellison Drive"
Oconee Fall Line Technical College,Sandersville,GA,1,"1189 Deepstep Rd"
York County Community College,Wells,ME,2,"112 College Drive"
Western Suffolk BOCES,Northport,NY,1,"152 Laurel Hill Rd"
Arkansas State University-Mountain Home,Mountain Home,AR,1,"1600 South College Street"
Columbia Gorge Community College,The Dalles,OR,2,"400 E Scenic Dr"
Bakke Graduate University,Dallas,TX,4,"8515 Greenville Ave, Suite S206"
Tillamook Bay Community College,Tillamook,OR,2,"4301 Third St."
Manhattan School of Computer Technology,Brooklyn,NY,1,"931 Coney Island Avenue"
Ross College-Hopkinsville,Hopkinsville,KY,1,"4001 Ft. Campbell Blvd."
Paul Mitchell the School-St. George,Saint George,UT,1,"1487 S Silicon Way Ste #A3"
Cadillac Institute of Cosmetology,Cadillac,MI,1,"205 North Mitchell Street"
Arizona College of Nursing-Tempe,Tempe,AZ,3,"1620 West Fountainhead Parkway"
Vanguard-Sentinel Adult Career and Technology Center,Fremont,OH,1,"1306 Cedar St"
Academy of Beauty Professionals,Raymore,MO,1,"800 W Foxwood Dr."
Living Arts College,Raleigh,NC,1,"3000 Wakefield Crossing Drive"
New York Conservatory for Dramatic Arts,New York,NY,2,"39 W 19th Street Fl 2"
Eastern International College-Jersey City,Jersey City,NJ,2,"684 Newark Ave"
Academia Serrant Inc,Ponce,PR,1,"7033 Mendez Vigo"
San Joaquin Valley College-Trades Education Center,Fresno,CA,1,"4985 East Anderson Avenue"
Pacific College,Costa Mesa,CA,2,"3160 Red Hill Ave"
American College of Healthcare and Technology,Riverside,CA,1,"11801 Pierce St., Suite 100"
Compu-Med Vocational Careers Corp,Hialeah,FL,1,"2900 W 12th Ave 3rd Fl #28"
Advantage Technical College,Manati,PR,1,"3 Ramos Velez St"
Mid Cities Barber College,Grand Prairie,TX,1,"2345 Southwest 3rd Street, Suite101"
Midwestern University-Glendale,Glendale,AZ,4,"19555 N 59th Ave"
Oregon Coast Community College,Newport,OR,2,"400 SE College Way"
Gwinnett College-Sandy Springs,Sandy Springs,GA,1,"6690 Roswell Road NE  Ste. 2200"
Mildred Elley-Pittsfield Campus,Pittsfield,MA,1,"100 West Street"
Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,FL,3,"1 Aerospace Blvd."
Merkaz Bnos-Business School,Brooklyn,NY,1,"2115 Benson Avenue"
Lia Schorr Institute of Cosmetic Skin Care Training,New York,NY,1,"57 west 57 street suite 1409"
CET-Alexandria,Alexandria,VA,1,"6295 Edsall Rd, Plaza 500, Ste. 220"
Aviation Institute of Maintenance-Norfolk,Norfolk,VA,1,"2329 E. Little Creek Road"
Centura College-Richmond Main,North Chesterfield,VA,1,"7914 Midlothian Turnpike"
Osceola Technical College,Kissimmee,FL,1,"501 Simpson Rd"
Miami Ad School,Miami,FL,1,"225 NE 34th St 203"
Green Country Technology Center,Okmulgee,OK,1,"1100 OK-56 Loop"
Nova College de Puerto Rico,Bayamon,PR,1,"#137 Dr. Veve Street"
John Wesley International Barber and Beauty College,Long Beach,CA,1,"920 Atlantic Avenue Suite 200"
Southeastern College-West Palm Beach,West Palm Beach,FL,2,"1756 North Congress Avenue"
Ottawa University-Milwaukee,Brookfield,WI,3,"245 South Executive Drive, Suite 340"
Klamath Community College,Klamath Falls,OR,1,"7390 South Sixth Street"
L3Harris Flight Academy,Sanford,FL,1,"2685 Flightline Ave"
American College of Acupuncture and Oriental Med,Houston,TX,4,"9100 Park  West Drive"
AOMA Graduate School of Integrative Medicine,Austin,TX,4,"4701 Westgate Blvd"
Urban College of Boston,Boston,MA,2,"2 Boylston Street, 2nd Floor"
Strayer University-Maryland,Suitland,MD,3,"5110 Auth Way"
Empire Beauty School-Monroeville,Monroeville,PA,1,"The Plaza, 320 Mall Blvd"
Southern Careers Institute-San Antonio,San Antonio,TX,1,"238 SW Military Drive, Suite 101"
Cayce/Reilly School of Massage,Virginia Beach,VA,1,"215 67th Street"
Prism Career Institute-West Atlantic City,West  Atlantic City,NJ,1,"8025 Black Horse Pike Bayport One Suite 250"
Studio Jewelers,New York,NY,1,"32 E 31 St"
Praxis Institute,Miami,FL,1,"1850 SW 8th St 4th Fl"
San Juan Bautista School of Medicine,Caguas,PR,3,"Carretera 172  Urb. Turabo Gardens"
Texas Health and Science University,Austin,TX,3,"4005 Menchaca Rd"
Carver Career Center,Charleston,WV,1,"4799 Midland Dr"
Cayuga Onondaga BOCES-Practical Nursing Program,Auburn,NY,1,"Center for Learning 12 Allen Street"
Clearfield County Career and Technology Center,Clearfield,PA,1,"1620 River Road"
Colegio de Cinematografia Artes y Television,Bayamon,PR,1,"Dr. Veve #51 Esq. Degetau"
Delaware County Technical School-Practical Nursing Program,Broomall,PA,1,"85 North Malin Road"
Mid-Del Technology Center,Midwest City,OK,1,"1621 Maple Dr"
New York Institute of Massage Inc,Williamsville,NY,1,"4701 Transit Rd"
Dutchess BOCES-Practical Nursing Program,Poughkeepsie,NY,1,"5 BOCES Road"
Escuela Tecnica de Electricidad,Ponce,PR,1,"Villa Street #190"
Institute of Technology,Clovis,CA,1,"564  W Herndon"
Garnet Career Center,Charleston,WV,1,"422 Dickinson St"
Bristol Technical Education Center,Bristol,CT,1,"431 Minor Street"
Genesee Valley BOCES-Practical Nursing Program,Batavia,NY,1,"Adult Education Office  8250 State St Rd"
Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico,VA,1,"7850 Carousel Lane"
Herkimer County BOCES-Practical Nursing Program,Ilion,NY,1,"77 E. North St."
International Beauty College,Garland,TX,1,"1225 Beltline Rd Ste 7"
Cape Coral Technical College,Cape Coral,FL,1,"360 Santa Barbara Blvd North"
UPMC Mercy School of Nursing,Pittsburgh,PA,1,"1401 Blvd of the Allies"
Ocean County Vocational-Technical School,Toms River,NJ,1,"137 Bey Lea  Rd"
Yeshiva of the Telshe Alumni,Riverdale,NY,3,"4904 Independence Ave"
Kenneth Shuler School of Cosmetology-Rock Hill,Rock Hill,SC,1,"2375 Cherry Road Suite #102"
CET-El Paso,El Paso,TX,1,"294 Candelaria Street"
Appalachian School of Law,Grundy,VA,4,"1169 Edgewater Drive"
Platt College-Ontario,Ontario,CA,2,"3700 Inland Empire Boulevard, Ste 400"
Delaware College of Art and Design,Wilmington,DE,2,"600 N Market St"
American University of Health Sciences,Signal Hill,CA,3,"1600 East Hill St"
Career Networks Institute,Santa Ana,CA,2,"1610 E. Saint Andrew Place Suite 200"
Monty Tech,Fitchburg,MA,1,"1050 Westminster St"
Okaloosa Technical College,Fort Walton Beach,FL,1,"1976 Lewis Turner Blvd"
Lincoln Technical Institute-Lincoln,Lincoln,RI,1,"622 George Washington Hwy"
Wayne County Schools Career Center,Smithville,OH,1,"518 W Prospect St"
Carolinas College of Health Sciences,Charlotte,NC,2,"2110 Water Ridge Parkway"
Western Governors University,Salt Lake City,UT,3,"4001 South 700 East Suite 700"
California Aeronautical University,Bakersfield,CA,3,"1450 Boughton Drive"
Herzing University-New Orleans,Metairie,LA,2,"3900 N. Causeway Blvd."
Florida Gulf Coast University,Fort Myers,FL,3,"10501 Fgcu Blvd S"
Little Priest Tribal College,Winnebago,NE,2,"601 E. College Drive"
South Louisiana Community College,Lafayette,LA,1,"1101 Bertrand Drive"
Pima Medical Institute-Chula Vista,Chula Vista,CA,1,"780 Bay Blvd Suite101"
Lincoln College of Technology-Marietta,Marietta,GA,1,"2359 Windy Hill Road"
Academy of Hair Design-Lufkin,Lufkin,TX,1,"512 S Chestnut"
Pathway Vocational Academy,Beaumont,TX,1,"3141 College, Suite A10"
Cortiva Institute,Linthicum,MD,1,"517 Progress Drive      Suite A - J"
Toni & Guy Hairdressing Academy-Worcester,Worcester,MA,1,"6 Park Avenue"
Northwest HVAC/R Training Center,Spokane,WA,1,"204 E. Nora Ave"
Myotherapy Institute,Lincoln,NE,2,"245 South 84th ST #100"
Florida College of Integrative Medicine,Orlando,FL,4,"7100 Lake Ellenor Dr"
New Professions Technical Institute,Miami,FL,1,"4000 W.  Flagler St."
Strand College of Hair Design,Myrtle Beach,SC,1,"423 79th Ave N"
City College-Miami,Miami,FL,2,"9300 S Dadeland Blvd., Suite 200"
Ilisagvik College,Barrow,AK,1,"100 Stevenson Street"
Community College of Baltimore County,Baltimore,MD,2,"7201 Rossville Boulevard"
White Earth Tribal and Community College,Mahnomen,MN,2,"2250 College Road"
Blue Cliff College-Metairie,Metairie,LA,1,"3200 Cleary Ave"
Creative Images Institute of Cosmetology-North Dayton,Dayton,OH,1,"7535 Poe Avenue"
Dewey University-Carolina,Carolina,PR,2,"Road 3 Compound 11 Lot 7 Carolina Industrial Park"
Yeshiva College of the Nations Capital,Silver  Spring,MD,3,"1216 Arcola Ave"
Louisiana State University Health Sciences Center-Shreveport,Shreveport,LA,3,"1501 Kings Hwy"
Central Career Institute LLC,South Plainfield,NJ,1,"126 Corporate Blvd"
Hair Academy II,Hillcrest Heights,MD,1,"Iverson Mall, 3705 Branch Avenue, Lower Level"
Southwest Acupuncture College-Boulder,Boulder,CO,4,"6630 Gunpark Dr Suite 200"
River Parishes Community College,Gonzales,LA,1,"925 West Edenborne Parkway"
Los Angeles Film School,Hollywood,CA,2,"6363 Sunset Blvd"
Century College,San Juan,PR,1,"Calle Teniente Cesar Gonzalez #680"
FINE Mortuary College,Norwood,MA,2,"150 Kerry Place"
International Baptist College and Seminary,Chandler,AZ,3,"2211 W Germann Road"
