athlete_id,name,matched_university
60591,Jimmy Carr,University of Kentucky
11128,Cliff Meidl,University of Southern California
44748,Tony Rosetti,University of Mississippi
40944,Mark Zembsch,University of San Francisco
68825,Sidney Abrahams,Emmanuel College
17978,George Miller,Trinity College
51299,Gary Conelly,University of Kentucky
80721,Patty Boydstun,Washington State University
37299,John Fenning,Magdalen College
78281,Brian Crouser,University of Oregon
100466,Vicki Movsessian,Providence College
40695,Duvall Hecht,Menlo College
104987,Elizabeth Zaragoza,San Francisco State University
40268,Igor Yemchuk,National University
60765,Rodney Smith,Western New England University
68844,Willie Applegarth,Fordham University
44785,Arnold Vitarbo,University of Utah
77776,Doris Brown,Seattle Pacific University
51268,Dick Blick,Central College
5694,Ralph Beard,University of Kentucky
78025,Brian Abshire,Unity College
51172,Becky Ruehl,Cranbrook Academy of Art
98451,Joe Tyler,University of Dayton
27768,Miles Joseph,Clemson University
901541,Richard Zimmern,Yale University
79202,Eric Wilson,University of Iowa
922344,Frank Chamberlain,Yale University
78781,Ed Mendoza,University of Arizona
921433,Ralph Cram,Princeton University
40708,Fred Honebein,University of Pennsylvania
78769,John McLean,Knox College
51101,Kim Linehan,University of South Florida
37295,Raymond Etherington-Smith,University of Pennsylvania
20371,Julie Staver,University of Pennsylvania
921632,Dudley Talcott,Florida International University
46382,Mohamed Abdel Khalek Allam,American University
6381,John Keller,University of Kansas
78264,Ted Corbitt,New York University
27690,Desmond Armstrong,University of Mary
77816,Judy Dyer,Unity College
97457,Edgar Seymour,University of Rochester
78089,Jim Bausch,University of Kansas
44640,Charles Davis,Centre College
99810,Matt Chojnacki,University of Arizona
46550,Martín López-Zubero,University of Florida
51035,Cynthia Goyette,Wayne State University
84939,Jim Curran,University of Vermont
37226,Humphrey Boardman,Trinity College
62155,Andrew Goldman,Brown University
901540,H. Wyatt,Rensselaer Polytechnic Institute
5631,Manuel Araneta,Eastern University
37479,Douglas Stuart,Harvard University
80607,Ginny Baxter,Michigan State University
